Quality,Quantity
Total Predictions,10000
True Predictions,4949
True Accuracy,49.49
Quality,Quantity
Total Predictions,10000
True Predictions,5169
True Accuracy,51.690000000000005
Quality,Quantity
Total Predictions,10000
True Predictions,6620
True Accuracy,66.2
Quality,Quantity
Total Predictions,10000
True Predictions,7131
True Accuracy,71.31
Quality,Quantity
Total Predictions,10000
True Predictions,7343
True Accuracy,73.42999999999999
Quality,Quantity
Total Predictions,10000
True Predictions,6977
True Accuracy,69.77
Quality,Quantity
Total Predictions,10000
True Predictions,1077
True Accuracy,10.77
Quality,Quantity
Total Predictions,10000
True Predictions,7436
True Accuracy,74.36
Quality,Quantity
Total Predictions,10000
True Predictions,8555
True Accuracy,85.55
Quality,Quantity
Total Predictions,10000
True Predictions,8740
True Accuracy,87.4
Quality,Quantity
Total Predictions,10000
True Predictions,8740
True Accuracy,87.4
Quality,Quantity
Total Predictions,10000
True Predictions,8740
True Accuracy,87.4
Quality,Quantity
Total Predictions,10000
True Predictions,8740
True Accuracy,87.4
Quality,Quantity
Total Predictions,10000
True Predictions,7335
True Accuracy,73.35000000000001
Quality,Quantity
Total Predictions,10000
True Predictions,7335
True Accuracy,73.35000000000001
Quality,Quantity
Total Predictions,10000
True Predictions,5812
True Accuracy,58.120000000000005
Quality,Quantity
Total Predictions,10000
True Predictions,7818
True Accuracy,78.18
Quality,Quantity
Total Predictions,10000
True Predictions,7777
True Accuracy,77.77
Quality,Quantity
Total Predictions,10000
True Predictions,7773
True Accuracy,77.73
Quality,Quantity
Total Predictions,10000
True Predictions,7597
True Accuracy,75.97
Quality,Quantity
Total Predictions,10000
True Predictions,8797
True Accuracy,87.97
Quality,Quantity
Total Predictions,10000
True Predictions,8718
True Accuracy,87.18
Quality,Quantity
Total Predictions,10000
True Predictions,8773
True Accuracy,87.72999999999999
Quality,Quantity
Total Predictions,10000
True Predictions,7759
True Accuracy,77.59
Quality,Quantity
Total Predictions,10000
True Predictions,1434
True Accuracy,14.34
Quality,Quantity
Total Predictions,10000
True Predictions,8526
True Accuracy,85.26
Quality,Quantity
Total Predictions,10000
True Predictions,8388
True Accuracy,83.88
Quality,Quantity
Total Predictions,10000
True Predictions,8737
True Accuracy,87.37
Quality,Quantity
Total Predictions,10000
True Predictions,8824
True Accuracy,88.24
